"id","n","label","parent"
"total  -  Animation  -  Brazil",72,"Brazil","total  -  Animation"
"total  -  Comedy  -  Brazil",172,"Brazil","total  -  Comedy"
"total  -  Crime  -  Brazil",112,"Brazil","total  -  Crime"
"total  -  Drama  -  Brazil",255,"Brazil","total  -  Drama"
"total  -  Family  -  Brazil",77,"Brazil","total  -  Family"
"total  -  Mystery  -  Brazil",54,"Brazil","total  -  Mystery"
"total  -  Romance  -  Brazil",117,"Brazil","total  -  Romance"
"total  -  Thriller  -  Brazil",66,"Brazil","total  -  Thriller"
"total  -  Action  -  Bulgaria",223,"Bulgaria","total  -  Action"
"total  -  Adventure  -  Bulgaria",133,"Bulgaria","total  -  Adventure"
"total  -  Animation  -  Bulgaria",52,"Bulgaria","total  -  Animation"
"total  -  Comedy  -  Bulgaria",178,"Bulgaria","total  -  Comedy"
"total  -  Crime  -  Bulgaria",119,"Bulgaria","total  -  Crime"
"total  -  Drama  -  Bulgaria",303,"Bulgaria","total  -  Drama"
"total  -  Mystery  -  Bulgaria",49,"Bulgaria","total  -  Mystery"
"total  -  Romance  -  Bulgaria",98,"Bulgaria","total  -  Romance"
"total  -  Sci Fi  -  Bulgaria",43,"Bulgaria","total  -  Sci Fi"
"total  -  Thriller  -  Bulgaria",55,"Bulgaria","total  -  Thriller"
"total  -  Action  -  Canada",167,"Canada","total  -  Action"
"total  -  Adventure  -  Canada",110,"Canada","total  -  Adventure"
"total  -  Animation  -  Canada",55,"Canada","total  -  Animation"
"total  -  Comedy  -  Canada",168,"Canada","total  -  Comedy"
"total  -  Crime  -  Canada",135,"Canada","total  -  Crime"
"total  -  Drama  -  Canada",273,"Canada","total  -  Drama"
"total  -  Horror  -  Canada",36,"Canada","total  -  Horror"
"total  -  Mystery  -  Canada",67,"Canada","total  -  Mystery"
"total  -  Romance  -  Canada",71,"Canada","total  -  Romance"
"total  -  Sci Fi  -  Canada",36,"Canada","total  -  Sci Fi"
"total  -  Thriller  -  Canada",68,"Canada","total  -  Thriller"
"total  -  Action  -  Chile",144,"Chile","total  -  Action"
"total  -  Adventure  -  Chile",125,"Chile","total  -  Adventure"
"total  -  Animation  -  Chile",74,"Chile","total  -  Animation"
